domain,status,source,url,failure_reason
publico.pt,not_found,,,no_privacy_links
rtl.nl,not_found,,,no_privacy_links
mediamarkt.de,not_found,,,homepage_unreachable
obi.de,skipped,existing_file,,
spdns.de,not_found,,,no_privacy_links
buienradar.nl,skipped,existing_file,,
google.bg,skipped,existing_file,,
imedia.cz,not_found,,,homepage_unreachable
nazwa.pl,skipped,existing_file,,
infor.pl,skipped,existing_file,,
google.lv,skipped,existing_file,,
interno.gov.it,not_found,,,homepage_unreachable
rewe.de,not_found,,,homepage_unreachable
nieuwsblad.be,not_found,,,homepage_unreachable
louvre.fr,not_found,,,no_privacy_links
sport.es,skipped,existing_file,,
tv2.dk,not_found,,,no_privacy_links
udag.de,skipped,existing_file,,
lu.se,skipped,existing_file,,
uni-erlangen.de,skipped,existing_file,,
lavozdegalicia.es,skipped,existing_file,,
csfd.cz,skipped,existing_file,,
kleinezeitung.at,not_found,,,no_privacy_links
ui-dns.de,not_found,,,homepage_unreachable
fotocasa.es,not_found,,,homepage_unreachable
nyaa.si,not_found,,,no_privacy_links
tf1info.fr,skipped,existing_file,,
google.lu,skipped,existing_file,,
spzl.nl,not_found,,,homepage_unreachable
blocket.se,skipped,existing_file,,
certum.pl,not_found,,,no_privacy_links
unibo.it,skipped,existing_file,,
chefkoch.de,not_found,,,no_privacy_links
cra.cz,not_found,,,no_privacy_links
allegro.cz,not_found,,,homepage_unreachable
letelegramme.fr,not_found,,,no_privacy_links
qvc.de,not_found,,,no_privacy_links
cuni.cz,skipped,existing_file,,
inria.fr,not_found,,,no_privacy_links
auerproxy.de,not_found,,,homepage_unreachable
ilpost.it,skipped,existing_file,,
google.hr,skipped,existing_file,,
fanpage.it,not_found,,,homepage_unreachable
s-cloud.fi,not_found,,,no_privacy_links
lavoixdunord.fr,not_found,,,homepage_unreachable
o2.pl,not_found,,,no_privacy_links
com.be,not_found,,,homepage_unreachable
ilgiornale.it,skipped,existing_file,,
telecinco.es,not_found,,,homepage_unreachable
sport1.de,not_found,,,no_privacy_links
csic.es,skipped,existing_file,,
2dehands.be,skipped,existing_file,,
rtvslo.si,not_found,,,no_privacy_links
leprogres.fr,not_found,,,no_privacy_links
tim.it,skipped,existing_file,,
google.sk,skipped,existing_file,,
lepoint.fr,not_found,,,no_privacy_links
scoop.it,skipped,existing_file,,
decathlon.fr,not_found,,,homepage_unreachable
willhaben.at,not_found,,,no_privacy_links
dba.dk,skipped,existing_file,,
proximus.be,skipped,existing_file,,
1und1.de,not_found,,,no_privacy_links
dhnet.be,not_found,,,no_privacy_links
funda.nl,skipped,existing_file,,
tfkc.de,not_found,,,no_privacy_links
lidl.de,not_found,,,homepage_unreachable
in.gr,skipped,existing_file,,
journaldesfemmes.fr,not_found,,,no_privacy_links
mdr.de,not_found,,,no_privacy_links
midilibre.fr,not_found,,,no_privacy_links
carrefour.es,not_found,,,homepage_unreachable
heraldo.es,found,homepage_link,https://www.heraldo.es/noticias/nacional/2026/04/30/koldo-declara-que-recibio-billetes-500-euros-psoe-que-ve-totalmente-legal-que-los-llamo-chistorras-2016622.html,
tf1.fr,not_found,,,homepage_unreachable
dm.de,skipped,existing_file,,
amazon.ie,skipped,existing_file,,
schwaebische.de,not_found,,,no_privacy_links
vodafone.pt,skipped,existing_file,,
hu-berlin.de,skipped,existing_file,,
